,car_id,condition,mileage(kilometers),fuel_type,volume(cm3),transmission,drive_unit,segment,model,car,year,price(USD)
car_id,1.0,-0.005543954575404241,-0.0019808238169091203,-0.005392802799791334,-0.003121943653753033,0.003540288844201926,-0.005016122682419068,-0.00655172254018795,-0.0039205042991828755,-0.0015188441228135424,-0.0009225098964410078,-0.0030423866621628274
condition,-0.005543954575404241,1.0,-0.04040037362922635,-0.030709524276869984,0.0284513581387157,-0.0643742361674813,-0.010663151211956367,0.05591181112619852,0.011974924274080567,0.00597603575974541,0.1282264962411892,0.09020264299183116
mileage(kilometers),-0.0019808238169091203,-0.04040037362922635,1.0,-0.08593081503067196,0.011995830599342385,0.1053712066820798,0.03398508611386461,0.012863074149776397,-0.02017008420920743,-0.01203936046508438,-0.2365623225376791,-0.1732786703962276
fuel_type,-0.005392802799791334,-0.030709524276869984,-0.08593081503067196,1.0,-0.03957705391074791,-0.09783914433783938,-0.01730548849511529,-0.21985748833656873,-0.10008463569889997,-0.06773692659486658,-0.07032679695164905,-0.10483220294262549
volume(cm3),-0.003121943653753033,0.0284513581387157,0.011995830599342385,-0.03957705391074791,1.0,-0.3483095407055448,0.10108344050792237,0.3170086748040414,0.06351565497879076,-0.14049253822714639,0.02881274681464716,0.2711585244122217
transmission,0.003540288844201926,-0.0643742361674813,0.1053712066820798,-0.09783914433783938,-0.3483095407055448,1.0,-0.039294150081109196,-0.23083384861931341,-0.061241909983258964,0.1335043126311226,-0.3955820992339038,-0.4510146743264875
drive_unit,-0.005016122682419068,-0.010663151211956367,0.03398508611386461,-0.01730548849511529,0.10108344050792237,-0.039294150081109196,1.0,0.049502506509222444,-0.15995083432436444,-0.14396165121879992,-0.18087226812809273,-0.0704121782079788
segment,-0.00655172254018795,0.05591181112619852,0.012863074149776397,-0.21985748833656873,0.3170086748040414,-0.23083384861931341,0.049502506509222444,1.0,0.29039452024698836,-0.016047084571273254,0.13107164311843933,0.2946431322866951
model,-0.0039205042991828755,0.011974924274080567,-0.02017008420920743,-0.10008463569889997,0.06351565497879076,-0.061241909983258964,-0.15995083432436444,0.29039452024698836,1.0,0.28230422116844545,0.16022520287634953,0.1339654141316783
car,-0.0015188441228135424,0.00597603575974541,-0.01203936046508438,-0.06773692659486658,-0.14049253822714639,0.1335043126311226,-0.14396165121879992,-0.016047084571273254,0.28230422116844545,1.0,0.040928543027397575,-0.030045250323944006
year,-0.0009225098964410078,0.1282264962411892,-0.2365623225376791,-0.07032679695164905,0.02881274681464716,-0.3955820992339038,-0.18087226812809273,0.13107164311843933,0.16022520287634953,0.040928543027397575,1.0,0.6068822668434711
price(USD),-0.0030423866621628274,0.09020264299183116,-0.1732786703962276,-0.10483220294262549,0.2711585244122217,-0.4510146743264875,-0.0704121782079788,0.2946431322866951,0.1339654141316783,-0.030045250323944006,0.6068822668434711,1.0
